"","politician","polltype","subgroup","start_date","end_date","pollster_rating_name","sample_size","raw_sample_size","population","weight","approve","disapprove","approve_adjusted","disapprove_adjusted","tracking","url","poll_id","question_id","created_at","timestamp","pollster_rating_id","subpopulation"
"86","Donald Trump",NA,NA,"12/20/20","12/26/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74082,138956,"1/7/21 11:08",NA,218,NA
"87","Donald Trump",NA,NA,"12/19/20","12/25/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74081,138955,"1/7/21 11:08",NA,218,NA
"88","Donald Trump",NA,NA,"12/18/20","12/24/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74080,138954,"1/7/21 11:08",NA,218,NA
"89","Donald Trump",NA,NA,"12/22/20","12/23/20","Morning Consult",2200,NA,"a",NA,40,56,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/06130434/2012119_crosstabs_MC_SPORTS_NFL_FAV_UNFAV_Adults_v1.pdf",74042,138907,"1/6/21 13:42",NA,218,NA
"90","Donald Trump",NA,NA,"12/17/20","12/23/20","Morning Consult",31920,NA,"rv",NA,40,54,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74079,138953,"1/7/21 11:08",NA,218,NA
"91","Donald Trump",NA,NA,"12/20/20","12/22/20","Rasmussen Reports",1500,NA,"lv",NA,45,52,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",73873,138577,"12/23/20 09:15",NA,277,NA
"92","Donald Trump",NA,NA,"12/19/20","12/22/20","YouGov",1500,NA,"a",NA,41,51,NA,NA,NA,"https://docs.cdn.yougov.com/df1m5n9hgq/econTabReport.pdf",73874,138578,"12/23/20 09:16",NA,391,NA
"93","Donald Trump",NA,NA,"12/19/20","12/22/20","YouGov",1157,NA,"rv",NA,43,52,NA,NA,NA,"https://docs.cdn.yougov.com/df1m5n9hgq/econTabReport.pdf",73874,138579,"12/23/20 09:16",NA,391,NA
"94","Donald Trump",NA,NA,"12/18/20","12/22/20","Ipsos",1368,NA,"a",NA,40,55,NA,NA,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/2020_reuters_tracking_-_core_political_presidential_approval_tracker_12_23_2020.pdf",73877,138607,"12/23/20 10:13",NA,154,NA
"95","Donald Trump",NA,NA,"12/18/20","12/22/20","Ipsos",1126,NA,"rv",NA,40,57,NA,NA,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/2020_reuters_tracking_-_core_political_presidential_approval_tracker_12_23_2020.pdf",73877,138608,"12/23/20 10:13",NA,154,NA
